player,team,matches,format,runs,balls_x,fours,sixes,outs,average,strike_rate,boundary_runs,boundary_percent,balls_per_boundary_x,balls_y,runs_conceded,wickets,dot_balls,fours_conceded,sixes_conceded,overs,economy,bowling_average,bowling_strike_rate,dot_ball_percent,boundary_runs_conceded,boundary_percent_conceded,balls_per_boundary_y,role,batting_score,bowling_score,overall_score,normalized_runs,anchor_score
V Kohli,Royal Challengers Bangalore,282,IPL,9346.0,7127.0,847.0,317.0,229.0,40.81,131.14,5290.0,56.6,6.12,264.0,371.0,4.0,52.0,25.0,11.0,44.0,8.43,92.75,66.0,19.7,166.0,44.74,7.33,Batter,80.1,13.39,93.49,100.0,76.633
V Suryavanshi,Rajasthan Royals,23,IPL,1028.0,473.0,81.0,96.0,23.0,44.7,217.34,900.0,87.55,2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Utility,122.326,50.0,172.32600000000002,10.99935801412369,69.11780740423711
KL Rahul,Kings XI Punjab,160,IPL,5828.0,4302.0,509.0,239.0,125.0,46.62,135.47,3470.0,59.54,5.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Batter,84.744,50.0,134.744,62.35822811898139,69.1114684356944
DA Warner,Sunrisers Hyderabad,184,IPL,6567.0,4849.0,663.0,236.0,158.0,41.56,135.43,4068.0,61.95,5.39,2.0,2.0,0.0,0.0,0.0,0.0,0.3,6.67,0.0,0.0,0.0,0.0,0.0,0.0,Batter,83.186,16.65,99.836,70.26535416220842,68.94560624866253
Karanbir Singh,Austria,51,T20I,2454.0,1531.0,199.0,204.0,44.0,55.77,160.29,2020.0,82.31,3.8,423.0,580.0,35.0,147.0,44.0,28.0,70.5,8.23,16.57,12.09,34.75,344.0,59.31,5.88,All-Rounder,102.886,29.8,132.686,26.257222341108495,67.82016670233256
AB de Villiers,Royal Challengers Bangalore,183,IPL,5181.0,3487.0,414.0,253.0,122.0,42.47,148.58,3174.0,61.26,5.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Batter,88.67200000000001,50.0,138.67200000000005,55.435480419430775,67.58164412582924
S Dhawan,Sunrisers Hyderabad,222,IPL,6769.0,5483.0,768.0,153.0,187.0,36.2,123.45,3990.0,58.95,5.95,49.0,72.0,4.0,17.0,7.0,3.0,8.2,8.78,18.0,12.25,34.69,46.0,63.89,4.9,Batter,75.65,14.638000000000002,90.288,72.42670661245452,64.51801198373636
RG Sharma,Mumbai Indians,281,IPL,7331.0,5659.0,661.0,324.0,244.0,30.05,129.55,4588.0,62.58,5.75,349.0,462.0,15.0,88.0,29.0,14.0,58.2,7.94,30.8,23.27,25.21,200.0,43.29,8.12,Batter,76.35600000000001,21.342,97.698,78.43997432056494,64.46699229616948
CH Gayle,Royal Challengers Bangalore,141,IPL,4997.0,3516.0,408.0,359.0,125.0,39.98,142.12,3786.0,75.77,4.58,584.0,755.0,18.0,180.0,49.0,27.0,97.3,7.76,41.94,32.44,30.82,358.0,47.42,7.68,Batter,87.994,24.564000000000004,112.558,53.466723732077895,64.45401711962337
JC Buttler,Mumbai Indians,138,IPL,4647.0,3208.0,459.0,211.0,115.0,40.41,144.86,3102.0,66.75,4.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Batter,87.458,50.0,137.458,49.721806120265356,64.09354183607961
MS Dhoni,Rising Pune Supergiant,277,IPL,5439.0,4101.0,375.0,264.0,139.0,39.13,132.63,3084.0,56.7,6.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Batter,80.04400000000001,50.0,130.044,58.19601968756687,63.54980590627005
