player,team,role,credits,overall_score
Prince Yadav,India,Utility,11.0,294.062
SP Narine,Kolkata Knight Riders,All-Rounder,9.3,192.588
Rashid Khan,Sunrisers Hyderabad,Bowler,8.9,169.97400000000002
RA Jadeja,Gujarat Lions,All-Rounder,8.8,161.978
B Kumar,Sunrisers Hyderabad,Bowler,8.7,159.514
R Ashwin,Kings XI Punjab,Bowler,8.7,157.704
Harbhajan Singh,Mumbai Indians,Bowler,8.6,154.584
AB de Villiers,Royal Challengers Bangalore,Batter,8.4,138.67200000000005
JC Buttler,Mumbai Indians,Batter,8.3,137.458
KL Rahul,Kings XI Punjab,Batter,8.3,134.744
RR Pant,Delhi Daredevils,Batter,8.3,133.466
